cod_scuola|anno_corso|entrate|uscite
"AGEE039019"|4|0|1.3
"AGEE039019"|5|0|0
"AGEE03903B"|1|0|0
"AGEE03903B"|2|14.3|7.1
"AGEE03903B"|3|0|0
"AGEE03903B"|4|0|0
"AGEE03903B"|5|0|0
"AGEE041019"|1|0|0
"AGEE041019"|2|0|2.5
"AGEE041019"|3|0|0
"AGEE041019"|4|0|0
"AGEE041019"|5|0|0
"AGEE04103B"|1|0|1
"AGEE04103B"|2|1|1
"AGEE04103B"|3|0|0
"AGEE04103B"|4|0|0
"AGEE04103B"|5|0|0
"AGEE042015"|1|2.9|0
"AGEE042015"|2|0|0
"AGEE042015"|3|6.1|0
"AGEE042015"|4|2.1|0
"AGEE042015"|5|3.6|0
"AGEE042037"|1|0|0
"AGEE042037"|2|0|0
"AGEE042037"|3|0|25
"AGEE042037"|4|0|0
"AGEE042037"|5|0|0
"AGEE042048"|1|0|2.9
"AGEE042048"|2|0|0
"AGEE042048"|3|3.4|0
"AGEE042048"|4|0|0
"AGEE042048"|5|0|0
"AGEE043011"|1|0|0
"AGEE043011"|2|0|3.6
"AGEE043011"|3|3.4|0
"AGEE043011"|4|0|3.1
"AGEE043011"|5|1.3|1.3
"AGEE043033"|1|3.3|0
"AGEE043033"|2|1.9|1.9
"AGEE043033"|3|0|0
"AGEE043033"|4|0|0
"AGEE043033"|5|0|0
"AGEE805015"|1|0|0
"AGEE805015"|2|0|0
"AGEE805015"|3|0|0
"AGEE805015"|4|0|0
"AGEE805015"|5|0|0
"AGEE805026"|1|0|0
"AGEE805026"|2|4.3|0
"AGEE805026"|3|0|3.4
"AGEE805026"|4|0|0
"AGEE805026"|5|0|0
"AGEE806011"|1|0|0
"AGEE806011"|2|0|0
"AGEE806011"|3|0|0
"AGEE806011"|4|0|0
"AGEE806011"|5|0|0
"AGEE806022"|1|0|0
"AGEE806022"|2|10|0
"AGEE806022"|3|0|0
"AGEE806022"|4|0|0
"AGEE806022"|5|0|0
"AGEE806033"|1|0|0
"AGEE806033"|2|0|0
"AGEE806033"|3|0|0
"AGEE806033"|4|0|0
"AGEE806033"|5|0|0
"AGEE80702T"|1|0|7.3
"AGEE80702T"|2|0|9.8
"AGEE80702T"|3|0|0
"AGEE80702T"|4|0|0
"AGEE80702T"|5|0|4.5
"AGEE80703V"|1|0|9.4
"AGEE80703V"|2|0|0
"AGEE80703V"|3|0|0
"AGEE80703V"|4|0|3.1
"AGEE80703V"|5|0|0
"AGEE80801L"|1|0|0
"AGEE80801L"|2|0|4.7
"AGEE80801L"|3|0|1.6
"AGEE80801L"|4|0|1.3
"AGEE80801L"|5|0|1.2
"AGEE80901C"|1|0|0
"AGEE80901C"|2|0|0
"AGEE80901C"|3|0|2
"AGEE80901C"|4|0|0
"AGEE80901C"|5|0|0
"AGEE81001L"|1|0|0
"AGEE81001L"|2|0|0
"AGEE81001L"|3|0|0
"AGEE81001L"|4|0|0
"AGEE81001L"|5|0|0
"AGEE81002N"|1|0|0
"AGEE81002N"|2|0|0
"AGEE81002N"|3||
"AGEE81002N"|4|0|0
"AGEE81002N"|5|0|0
"AGEE812018"|1|0|0
"AGEE812018"|2|0|0
"AGEE812018"|3|0|0
"AGEE812018"|4|0|0
"AGEE812018"|5|0|0
"AGEE812029"|1|0|0
"AGEE812029"|2|0|0
"AGEE812029"|3|0|0
"AGEE812029"|4|0|0
"AGEE812029"|5|0|0
"AGEE813014"|1|2.1|0
"AGEE813014"|2|0|0
"AGEE813014"|3|2.2|0
"AGEE813014"|4|0|0
"AGEE813014"|5|0|0
"AGEE81401X"|1|0|0
"AGEE81401X"|2|0|0
"AGEE81401X"|3|0|0
"AGEE81401X"|4|0|0
"AGEE81401X"|5|0|2.1
"AGEE81501Q"|1|2.8|5.6
"AGEE81501Q"|2|0|4.8
"AGEE81501Q"|3|0|0
"AGEE81501Q"|4|0|9.7
"AGEE81501Q"|5|0|0
"AGEE81701B"|1|0|0
"AGEE81701B"|2|0|0
"AGEE81701B"|3|0|0
"AGEE81701B"|4|0|0
"AGEE81701B"|5|0|0
"AGEE818017"|1|0|0
"AGEE818017"|2|0|0
"AGEE818017"|3|0|0
"AGEE818017"|4|0|0
"AGEE818017"|5|0|0
"AGEE818028"|1|0|0
"AGEE818028"|2|0|0
"AGEE818028"|3|0|0
"AGEE818028"|4|0|0
"AGEE818028"|5|0|0
"AGEE819013"|1|0|0
"AGEE819013"|2|0|2.1
"AGEE819013"|3|2.2|0
"AGEE819013"|4|0|0
"AGEE819013"|5|0|4.2
"AGEE820017"|1|0|0
"AGEE820017"|2|0|0
"AGEE820017"|3|0|0
"AGEE820017"|4|0|0
"AGEE820017"|5|0|0
"AGEE820028"|1|0|0
"AGEE820028"|2|0|0
"AGEE820028"|3|0|0
"AGEE820028"|4|0|0
"AGEE820028"|5|0|0
"AGEE821013"|1|0|0
"AGEE821013"|2|7.1|0
"AGEE821013"|3|0|0
"AGEE821013"|4|0|0
"AGEE821013"|5|0|0
"AGEE82201V"|1|0|9.1
"AGEE82201V"|2|0|0
"AGEE82201V"|3|0|0
"AGEE82201V"|4|0|0
"AGEE82201V"|5|0|0
"AGEE82301P"|1|0|0
"AGEE82301P"|2|0|0
"AGEE82301P"|3|1.8|0
"AGEE82301P"|4|0|0
"AGEE82301P"|5|2.4|0
"AGEE82401E"|1|0|0
"AGEE82401E"|2|0|0
"AGEE82401E"|3|0|0
"AGEE82401E"|4|0|0
"AGEE82401E"|5|0|0
"AGEE82402G"|1||
"AGEE82402G"|2|0|0
"AGEE82402G"|3|0|0
"AGEE82402G"|4|0|0
"AGEE82402G"|5|0|0
"AGEE82403L"|1|0|0
"AGEE82403L"|2|0|0
"AGEE82403L"|3|0|0
"AGEE82403L"|4|0|0
"AGEE82403L"|5|0|0
"AGEE82501A"|1|11.1|0
"AGEE82501A"|2|0|0
"AGEE82501A"|3|0|0
"AGEE82501A"|4|20|0
"AGEE82501A"|5|5.6|0
"AGEE826016"|1|9.7|0
"AGEE826016"|2|0|0
"AGEE826016"|3|0|0
"AGEE826016"|4|0|0
"AGEE826016"|5|0|0
"AGEE826027"|1|0|0
"AGEE826027"|2|0|0
