codice_scuola|pc_desktop|pc_laptop|lim_aula|lim_laboratorio|lim_mobili|paule_lan|paule_wifi
"AGEE805015"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE806011"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE806022"|"1,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE806033"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE80702T"|"4,00"|"0,00"|"1,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AGEE80703V"|"7,00"|"0,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AGEE80801L"|"8,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE80901C"|"19,00"|"1,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AGEE81001L"|"0,00"|"8,00"|"1,00"|"0,00"|"0,00"|"1,00"|"0,18"
"AGEE81002N"|"8,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE812018"|"10,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE813014"|"5,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE81401X"|"14,00"|"3,00"|"1,00"|"0,00"|"1,00"|"0,54"|"0,00"
"AGEE81501Q"|"1,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE818017"|"20,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE818028"|"29,00"|"2,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,30"
"AGEE820017"|"29,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE821013"|"1,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AGEE82201V"|"1,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE82301P"|"18,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE82402G"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE82403L"|"0,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE82501A"|"11,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE826016"|"2,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"
"AGEE826027"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE826038"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE827012"|"0,00"|"12,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE82801T"|"11,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE82901N"|"14,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE83001T"|"50,00"|"0,00"|"1,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AGEE83201D"|"11,00"|"4,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"
"AGEE83203G"|"7,00"|"0,00"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"
"AGEE833019"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE834015"|"34,00"|"3,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE835011"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE83601R"|"22,00"|"1,00"|"0,00"|"1,00"|"0,00"|"0,37"|"0,37"
"AGEE83701L"|"14,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE83802D"|"0,00"|"1,00"|"2,00"|"1,00"|"0,00"|"1,00"|"1,00"
"AGEE83803E"|"14,00"|"0,00"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"
"AGEE839018"|"0,00"|"9,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE84001C"|"9,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,07"
"AGEE841018"|"6,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE842014"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"1,00"|"0,00"
"AGEE84301X"|"7,00"|"0,00"|"2,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE84401Q"|"14,00"|"1,00"|"0,00"|"1,00"|"0,00"|"1,00"|"0,00"
"AGEE84501G"|"2,00"|"1,00"|"1,00"|"0,00"|"0,00"|"0,00"|"1,00"
"AGEE84705B"|"0,00"|"0,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
"AGEE848013"|"18,00"|"4,00"|"1,00"|"0,00"|"0,00"|"0,00"|"0,00"
